route_no,busstop,lat,lon
600A,"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE KRISHNA SEVA ASHRAMA HOSPITAL",12.91709164,77.58492434
600A,"Marenahalli Petrol Bunk,PATTABHIRAMA NAGARA,BESIDE AKKA MAHADEVI PARK",12.91704101,77.58865857
600A,"Ragigudda,JAYANAGARA 9TH BLOCK,OPPOSITE OF CENTRAL MALL",12.91690622,77.59212998
600A,Jayanagara 9th Block East,12.91682,77.59707
600A,"MICO Layout,BTM LAYOUT 1ST STAGE",12.91669777,77.60346678
600A,"BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK",12.91670482,77.60674168
600A,"Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER",12.91664233,77.60903892
600A,"BTM Layout Bus Stop,BTM LAYOUT 2ND STAGE,IN FROUNT OF KUVEMPUNAGRA BUS STAND",12.91636292,77.61599053
600A,"Central Silk Board,BTM LAYOUT MADIWALA,OPPOSITE OF CENTRAL SILK BOARD",12.9170803,77.62171064
600A,Roopena Agrahar,12.91189777,77.62612268
600A,Bommanahalli,12.90534806,77.63018404
600A,Garvebhavi Palya,12.89627974,77.63574793
600A,Kudlu Gate,12.889887,77.6396839
600A,Singasandra,12.87873262,77.64657216
600A,Hosa Road,12.87069872,77.65292842
600A,PESCollege,12.85872647,77.6624131
600A,"Konnappana Agrahara,ELECTRONIC CITY POST,IN FRONT OF AXIS BANK",12.8541179,77.66611758
600A,"Electronic City,ELECTRONIC CITY POST,OPPOSITE OF N.T.T.F. FOUNDATION",12.84821302,77.67076576
600A,"Veerasandra Gate,ELECTRONIC CITY POST,IN FRONT OF SHANKAR INFRASTRUCTURE MATERIAL LIMITED",12.83971952,77.67733808
600A,"Huskur Gate,ELECTRONIC CITY POST,BESIDE ESTATE GARDEN",12.83727188,77.67898322
600A,"Hebbagodi,HEBBAGODI,OPPOSITE OF SHRI PRASANNA ANJANEYA SWAMI TEMPLE",12.82715806,77.68248857
600A,"Bommasandra,BOMMASANDRA,IN FRONT OF D-MAST MALL",12.81832968,77.68985564
600A,"BTL College,BOMMASANDRA,OPPOSITE OF NARAYANA HRUDALAYA HOSPITAL",12.81081531,77.69572073
600A,"Hennagra Gate,BOMMASANDRA,OPPOSITE OF UNION BANK ATM,GOWDRA COMPLEX",12.80712088,77.6987067
600A,"Chandapura,CHANDAPURA,ANEKAL TALUKU,IN FRONT OF S.K. MEDICALS & GENERAL STORES",12.80267732,77.70442802
